method,language,budget,seed,lr,epochs,accuracy,macro_f1,trainable_params,peak_gpu_memory_gb,training_time_sec,adapter_path
dora,te,500,123,0.0001,10,0.371486,0.340053,906243,1.1723,32.73,/kaggle/working/adapters/dora/te/budget500_seed123
dora,te,500,456,0.0001,10,0.349799,0.234389,906243,1.1723,32.9,/kaggle/working/adapters/dora/te/budget500_seed456
dora,te,1000,42,0.0001,5,0.33253,0.167903,906243,1.1734,33.01,/kaggle/working/adapters/dora/te/budget1000_seed42
dora,te,1000,123,0.0001,5,0.333333,0.166667,906243,1.1734,32.75,/kaggle/working/adapters/dora/te/budget1000_seed123
dora,te,1000,456,0.0001,5,0.351406,0.280923,906243,1.1734,33.05,/kaggle/working/adapters/dora/te/budget1000_seed456
dora,te,2000,42,0.0001,5,0.385944,0.364174,906243,1.1727,65.68,/kaggle/working/adapters/dora/te/budget2000_seed42
dora,te,2000,123,0.0001,5,0.353012,0.24378,906243,1.1727,65.77,/kaggle/working/adapters/dora/te/budget2000_seed123
dora,te,2000,456,0.0001,5,0.374699,0.338436,906243,1.1727,65.87,/kaggle/working/adapters/dora/te/budget2000_seed456
dora,te,20000,42,0.0001,3,0.619679,0.620883,906243,1.1727,392.9,/kaggle/working/adapters/dora/te/budget20000_seed42
dora,te,20000,123,0.0001,3,0.631727,0.631808,906243,1.1705,394.09,/kaggle/working/adapters/dora/te/budget20000_seed123
dora,te,20000,456,0.0001,3,0.618474,0.615308,906243,1.1698,393.24,/kaggle/working/adapters/dora/te/budget20000_seed456
ia3,hi,50,42,0.005,10,0.33012,0.234374,657411,1.2395,2.94,/kaggle/working/adapters/ia3/hi/budget50_seed42
ia3,hi,50,123,0.005,10,0.334137,0.175502,657411,1.2395,2.98,/kaggle/working/adapters/ia3/hi/budget50_seed123
ia3,hi,50,456,0.005,10,0.333333,0.166667,657411,1.2395,3.04,/kaggle/working/adapters/ia3/hi/budget50_seed456
ia3,hi,100,42,0.005,10,0.333333,0.166667,657411,1.2402,6.01,/kaggle/working/adapters/ia3/hi/budget100_seed42
ia3,hi,100,123,0.005,10,0.333333,0.166667,657411,1.2402,6.19,/kaggle/working/adapters/ia3/hi/budget100_seed123
ia3,hi,100,456,0.005,10,0.334538,0.193169,657411,1.2402,5.93,/kaggle/working/adapters/ia3/hi/budget100_seed456
ia3,hi,500,42,0.005,10,0.414056,0.38349,657411,1.2395,29.75,/kaggle/working/adapters/ia3/hi/budget500_seed42
ia3,hi,500,123,0.005,10,0.411245,0.36908,657411,1.2395,29.04,/kaggle/working/adapters/ia3/hi/budget500_seed123
ia3,hi,500,456,0.005,10,0.416867,0.386996,657411,1.2395,29.57,/kaggle/working/adapters/ia3/hi/budget500_seed456
ia3,hi,1000,42,0.005,5,0.469076,0.44164,657411,1.2402,29.26,/kaggle/working/adapters/ia3/hi/budget1000_seed42
ia3,hi,1000,123,0.005,5,0.419679,0.322861,657411,1.2402,29.26,/kaggle/working/adapters/ia3/hi/budget1000_seed123
ia3,hi,1000,456,0.005,5,0.441365,0.420892,657411,1.2402,29.41,/kaggle/working/adapters/ia3/hi/budget1000_seed456
ia3,hi,2000,42,0.005,5,0.466265,0.416925,657411,1.2395,58.6,/kaggle/working/adapters/ia3/hi/budget2000_seed42
ia3,hi,2000,123,0.005,5,0.523293,0.500983,657411,1.2409,58.68,/kaggle/working/adapters/ia3/hi/budget2000_seed123
ia3,hi,2000,456,0.005,5,0.560241,0.556508,657411,1.2417,58.78,/kaggle/working/adapters/ia3/hi/budget2000_seed456
ia3,hi,20000,42,0.005,3,0.653414,0.655449,657411,1.2402,350.88,/kaggle/working/adapters/ia3/hi/budget20000_seed42
ia3,hi,20000,123,0.005,3,0.66747,0.669773,657411,1.2409,350.64,/kaggle/working/adapters/ia3/hi/budget20000_seed123
ia3,hi,20000,456,0.005,3,0.677912,0.679395,657411,1.2402,350.84,/kaggle/working/adapters/ia3/hi/budget20000_seed456
ia3,te,50,42,0.005,10,0.333333,0.166667,657411,1.2409,2.95,/kaggle/working/adapters/ia3/te/budget50_seed42
ia3,te,50,123,0.005,10,0.333333,0.166667,657411,1.2402,2.98,/kaggle/working/adapters/ia3/te/budget50_seed123
ia3,te,50,456,0.005,10,0.333333,0.166667,657411,1.2402,3.02,/kaggle/working/adapters/ia3/te/budget50_seed456
ia3,te,100,42,0.005,10,0.333333,0.166667,657411,1.2409,6.06,/kaggle/working/adapters/ia3/te/budget100_seed42
ia3,te,100,123,0.005,10,0.333333,0.166667,657411,1.2409,5.96,/kaggle/working/adapters/ia3/te/budget100_seed123
ia3,te,100,456,0.005,10,0.368273,0.285496,657411,1.2402,5.96,/kaggle/working/adapters/ia3/te/budget100_seed456
ia3,te,500,42,0.005,10,0.381526,0.326122,657411,1.2395,29.7,/kaggle/working/adapters/ia3/te/budget500_seed42
ia3,te,500,123,0.005,10,0.394779,0.326775,657411,1.2395,29.01,/kaggle/working/adapters/ia3/te/budget500_seed123
ia3,te,500,456,0.005,10,0.413655,0.400593,657411,1.2395,29.56,/kaggle/working/adapters/ia3/te/budget500_seed456
ia3,te,1000,42,0.005,5,0.372691,0.269137,657411,1.2402,29.22,/kaggle/working/adapters/ia3/te/budget1000_seed42
ia3,te,1000,123,0.005,5,0.413253,0.357137,657411,1.2402,29.38,/kaggle/working/adapters/ia3/te/budget1000_seed123
ia3,te,1000,456,0.005,5,0.334538,0.177115,657411,1.2402,29.32,/kaggle/working/adapters/ia3/te/budget1000_seed456
ia3,te,2000,42,0.005,5,0.432129,0.345971,657411,1.2395,58.64,/kaggle/working/adapters/ia3/te/budget2000_seed42
ia3,te,2000,123,0.005,5,0.438153,0.374575,657411,1.2409,58.68,/kaggle/working/adapters/ia3/te/budget2000_seed123
ia3,te,2000,456,0.005,5,0.46988,0.464295,657411,1.2417,58.61,/kaggle/working/adapters/ia3/te/budget2000_seed456
ia3,te,20000,42,0.005,3,0.619679,0.620707,657411,1.2402,351.32,/kaggle/working/adapters/ia3/te/budget20000_seed42
ia3,te,20000,123,0.005,3,0.623293,0.624403,657411,1.2409,351.41,/kaggle/working/adapters/ia3/te/budget20000_seed123
ia3,te,20000,456,0.005,3,0.606827,0.60428,657411,1.2402,351.16,/kaggle/working/adapters/ia3/te/budget20000_seed456
